Date : 2025-12-02 23:03:26
Directory : d:\Data\Java\laolao-pc-builds\laolao-pc-builds-vue\src\components
Total : 206 files,  9538 codes, 173 comments, 1203 blanks, all 10914 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
+------------+------------+------------+------------+------------+------------+
| vue        |        175 |      9,184 |        173 |      1,137 |     10,494 |
| TypeScript |         31 |        354 |          0 |         66 |        420 |
+------------+------------+------------+------------+------------+------------+

Directories
+-----------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                            | files      | code       | comment    | blank      | total      |
+-----------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| d:\Data\Java\laolao-pc-builds\laolao-pc-builds-vue\src\components\ui\dropdown-menu\DropdownMenu.vue             | vue        |         15 |          0 |          4 |         19 |
| d:\Data\Java\laolao-pc-builds\laolao-pc-builds-vue\src\components\ui\dropdown-menu\DropdownMenuCheckboxItem.vue | vue        |         35 |          0 |          5 |         40 |
| d:\Data\Java\laolao-pc-builds\laolao-pc-builds-vue\src\components\ui\dropdown-menu\DropdownMenuContent.vue      | vue        |         34 |          0 |          6 |         40 |
| d:\Data\Java\laolao-pc-builds\laolao-pc-builds-vue\src\components\ui\dropdown-menu\DropdownMenuGroup.vue        | vue        |         13 |          0 |          3 |         16 |
| d:\Data\Java\laolao-pc-builds\laolao-pc-builds-vue\src\components\ui\dropdown-menu\DropdownMenuItem.vue         | vue        |         27 |          0 |          5 |         32 |
| d:\Data\Java\laolao-pc-builds\laolao-pc-builds-vue\src\components\ui\dropdown-menu\DropdownMenuLabel.vue        | vue        |         20 |          0 |          4 |         24 |
| d:\Data\Java\laolao-pc-builds\laolao-pc-builds-vue\src\components\ui\dropdown-menu\DropdownMenuRadioGroup.vue   | vue        |         18 |          0 |          4 |         22 |
| d:\Data\Java\laolao-pc-builds\laolao-pc-builds-vue\src\components\ui\dropdown-menu\DropdownMenuRadioItem.vue    | vue        |         35 |          0 |          6 |         41 |
| d:\Data\Java\laolao-pc-builds\laolao-pc-builds-vue\src\components\ui\dropdown-menu\DropdownMenuSeparator.vue    | vue        |         20 |          0 |          4 |         24 |
| d:\Data\Java\laolao-pc-builds\laolao-pc-builds-vue\src\components\ui\dropdown-menu\DropdownMenuShortcut.vue     | vue        |         15 |          0 |          3 |         18 |
| d:\Data\Java\laolao-pc-builds\laolao-pc-builds-vue\src\components\ui\dropdown-menu\DropdownMenuSub.vue          | vue        |         15 |          0 |          4 |         19 |
| d:\Data\Java\laolao-pc-builds\laolao-pc-builds-vue\src\components\ui\dropdown-menu\DropdownMenuSubContent.vue   | vue        |         23 |          0 |          5 |         28 |
| d:\Data\Java\laolao-pc-builds\laolao-pc-builds-vue\src\components\ui\dropdown-menu\DropdownMenuSubTrigger.vue   | vue        |         27 |          0 |          4 |         31 |
| d:\Data\Java\laolao-pc-builds\laolao-pc-builds-vue\src\components\ui\dropdown-menu\DropdownMenuTrigger.vue      | vue        |         14 |          0 |          4 |         18 |
| d:\Data\Java\laolao-pc-builds\laolao-pc-builds-vue\src\components\ui\dropdown-menu\index.ts                     | TypeScript |         15 |          0 |          2 |         17 |
| d:\Data\Java\laolao-pc-builds\laolao-pc-builds-vue\src\components\ui\input-otp\InputOTP.vue                     | vue        |         23 |          0 |          6 |         29 |
| d:\Data\Java\laolao-pc-builds\laolao-pc-builds-vue\src\components\ui\input-otp\InputOTPGroup.vue                | vue        |         18 |          0 |          5 |         23 |
| d:\Data\Java\laolao-pc-builds\laolao-pc-builds-vue\src\components\ui\input-otp\InputOTPSeparator.vue            | vue        |         18 |          0 |          4 |         22 |
| d:\Data\Java\laolao-pc-builds\laolao-pc-builds-vue\src\components\ui\input-otp\InputOTPSlot.vue                 | vue        |         26 |          0 |          7 |         33 |
| d:\Data\Java\laolao-pc-builds\laolao-pc-builds-vue\src\components\ui\input-otp\index.ts                         | TypeScript |          4 |          0 |          1 |          5 |
| d:\Data\Java\laolao-pc-builds\laolao-pc-builds-vue\src\components\ui\input\Input.vue                            | vue        |         29 |          0 |          5 |         34 |
| d:\Data\Java\laolao-pc-builds\laolao-pc-builds-vue\src\components\ui\input\index.ts                             | TypeScript |          1 |          0 |          1 |          2 |
| d:\Data\Java\laolao-pc-builds\laolao-pc-builds-vue\src\components\ui\label\Label.vue                            | vue        |         23 |          0 |          4 |         27 |
| d:\Data\Java\laolao-pc-builds\laolao-pc-builds-vue\src\components\ui\label\index.ts                             | TypeScript |          1 |          0 |          1 |          2 |
| d:\Data\Java\laolao-pc-builds\laolao-pc-builds-vue\src\components\ui\pagination\Pagination.vue                  | vue        |         23 |          0 |          4 |         27 |
| d:\Data\Java\laolao-pc-builds\laolao-pc-builds-vue\src\components\ui\pagination\PaginationContent.vue           | vue        |         19 |          0 |          4 |         23 |
| d:\Data\Java\laolao-pc-builds\laolao-pc-builds-vue\src\components\ui\pagination\PaginationEllipsis.vue          | vue        |         22 |          0 |          4 |         26 |
| d:\Data\Java\laolao-pc-builds\laolao-pc-builds-vue\src\components\ui\pagination\PaginationFirst.vue             | vue        |         30 |          0 |          4 |         34 |
| d:\Data\Java\laolao-pc-builds\laolao-pc-builds-vue\src\components\ui\pagination\PaginationItem.vue              | vue        |         31 |          0 |          4 |         35 |
| d:\Data\Java\laolao-pc-builds\laolao-pc-builds-vue\src\components\ui\pagination\PaginationLast.vue              | vue        |         30 |          0 |          4 |         34 |
| d:\Data\Java\laolao-pc-builds\laolao-pc-builds-vue\src\components\ui\pagination\PaginationNext.vue              | vue        |         30 |          0 |          4 |         34 |
| d:\Data\Java\laolao-pc-builds\laolao-pc-builds-vue\src\components\ui\pagination\PaginationPrevious.vue          | vue        |         30 |          0 |          4 |         34 |
| d:\Data\Java\laolao-pc-builds\laolao-pc-builds-vue\src\components\ui\pagination\index.ts                        | TypeScript |          8 |          0 |          1 |          9 |
| d:\Data\Java\laolao-pc-builds\laolao-pc-builds-vue\src\components\ui\select\Select.vue                          | vue        |         15 |          0 |          4 |         19 |
| d:\Data\Java\laolao-pc-builds\laolao-pc-builds-vue\src\components\ui\select\SelectContent.vue                   | vue        |         46 |          0 |          7 |         53 |
| d:\Data\Java\laolao-pc-builds\laolao-pc-builds-vue\src\components\ui\select\SelectGroup.vue                     | vue        |         13 |          0 |          3 |         16 |
| d:\Data\Java\laolao-pc-builds\laolao-pc-builds-vue\src\components\ui\select\SelectItem.vue                      | vue        |         37 |          0 |          7 |         44 |
| d:\Data\Java\laolao-pc-builds\laolao-pc-builds-vue\src\components\ui\select\SelectItemText.vue                  | vue        |         13 |          0 |          3 |         16 |
| d:\Data\Java\laolao-pc-builds\laolao-pc-builds-vue\src\components\ui\select\SelectLabel.vue                     | vue        |         15 |          0 |          3 |         18 |
| d:\Data\Java\laolao-pc-builds\laolao-pc-builds-vue\src\components\ui\select\SelectScrollDownButton.vue          | vue        |         22 |          0 |          5 |         27 |
| d:\Data\Java\laolao-pc-builds\laolao-pc-builds-vue\src\components\ui\select\SelectScrollUpButton.vue            | vue        |         22 |          0 |          5 |         27 |
| d:\Data\Java\laolao-pc-builds\laolao-pc-builds-vue\src\components\ui\select\SelectSeparator.vue                 | vue        |         16 |          0 |          4 |         20 |
| d:\Data\Java\laolao-pc-builds\laolao-pc-builds-vue\src\components\ui\select\SelectTrigger.vue                   | vue        |         30 |          0 |          4 |         34 |
| d:\Data\Java\laolao-pc-builds\laolao-pc-builds-vue\src\components\ui\select\SelectValue.vue                     | vue        |         13 |          0 |          3 |         16 |
| d:\Data\Java\laolao-pc-builds\laolao-pc-builds-vue\src\components\ui\select\index.ts                            | TypeScript |         11 |          0 |          1 |         12 |
| d:\Data\Java\laolao-pc-builds\laolao-pc-builds-vue\src\components\ui\separator\Separator.vue                    | vue        |         26 |          0 |          4 |         30 |
| d:\Data\Java\laolao-pc-builds\laolao-pc-builds-vue\src\components\ui\separator\index.ts                         | TypeScript |          1 |          0 |          1 |          2 |
