"filename", "language", "vue", "TypeScript", "comment", "blank", "total"
"d:\Data\Java\laolao-pc-builds\laolao-pc-builds-vue\src\components\ui\drawer\Drawer.vue", "vue", 18, 0, 0, 4, 22
"d:\Data\Java\laolao-pc-builds\laolao-pc-builds-vue\src\components\ui\drawer\DrawerClose.vue", "vue", 13, 0, 0, 3, 16
"d:\Data\Java\laolao-pc-builds\laolao-pc-builds-vue\src\components\ui\drawer\DrawerContent.vue", "vue", 31, 0, 0, 4, 35
"d:\Data\Java\laolao-pc-builds\laolao-pc-builds-vue\src\components\ui\drawer\DrawerDescription.vue", "vue", 18, 0, 0, 4, 22
"d:\Data\Java\laolao-pc-builds\laolao-pc-builds-vue\src\components\ui\drawer\DrawerFooter.vue", "vue", 15, 0, 0, 3, 18
"d:\Data\Java\laolao-pc-builds\laolao-pc-builds-vue\src\components\ui\drawer\DrawerHeader.vue", "vue", 15, 0, 0, 3, 18
"d:\Data\Java\laolao-pc-builds\laolao-pc-builds-vue\src\components\ui\drawer\DrawerOverlay.vue", "vue", 16, 0, 0, 4, 20
"d:\Data\Java\laolao-pc-builds\laolao-pc-builds-vue\src\components\ui\drawer\DrawerTitle.vue", "vue", 18, 0, 0, 4, 22
"d:\Data\Java\laolao-pc-builds\laolao-pc-builds-vue\src\components\ui\drawer\DrawerTrigger.vue", "vue", 13, 0, 0, 3, 16
"d:\Data\Java\laolao-pc-builds\laolao-pc-builds-vue\src\components\ui\drawer\index.ts", "TypeScript", 0, 9, 0, 1, 10
"d:\Data\Java\laolao-pc-builds\laolao-pc-builds-vue\src\components\ui\dropdown-menu\DropdownMenu.vue", "vue", 15, 0, 0, 4, 19
"d:\Data\Java\laolao-pc-builds\laolao-pc-builds-vue\src\components\ui\dropdown-menu\DropdownMenuCheckboxItem.vue", "vue", 35, 0, 0, 5, 40
"d:\Data\Java\laolao-pc-builds\laolao-pc-builds-vue\src\components\ui\dropdown-menu\DropdownMenuContent.vue", "vue", 34, 0, 0, 6, 40
"d:\Data\Java\laolao-pc-builds\laolao-pc-builds-vue\src\components\ui\dropdown-menu\DropdownMenuGroup.vue", "vue", 13, 0, 0, 3, 16
"d:\Data\Java\laolao-pc-builds\laolao-pc-builds-vue\src\components\ui\dropdown-menu\DropdownMenuItem.vue", "vue", 27, 0, 0, 5, 32
"d:\Data\Java\laolao-pc-builds\laolao-pc-builds-vue\src\components\ui\dropdown-menu\DropdownMenuLabel.vue", "vue", 20, 0, 0, 4, 24
"d:\Data\Java\laolao-pc-builds\laolao-pc-builds-vue\src\components\ui\dropdown-menu\DropdownMenuRadioGroup.vue", "vue", 18, 0, 0, 4, 22
"d:\Data\Java\laolao-pc-builds\laolao-pc-builds-vue\src\components\ui\dropdown-menu\DropdownMenuRadioItem.vue", "vue", 35, 0, 0, 6, 41
"d:\Data\Java\laolao-pc-builds\laolao-pc-builds-vue\src\components\ui\dropdown-menu\DropdownMenuSeparator.vue", "vue", 20, 0, 0, 4, 24
"d:\Data\Java\laolao-pc-builds\laolao-pc-builds-vue\src\components\ui\dropdown-menu\DropdownMenuShortcut.vue", "vue", 15, 0, 0, 3, 18
"d:\Data\Java\laolao-pc-builds\laolao-pc-builds-vue\src\components\ui\dropdown-menu\DropdownMenuSub.vue", "vue", 15, 0, 0, 4, 19
"d:\Data\Java\laolao-pc-builds\laolao-pc-builds-vue\src\components\ui\dropdown-menu\DropdownMenuSubContent.vue", "vue", 23, 0, 0, 5, 28
"d:\Data\Java\laolao-pc-builds\laolao-pc-builds-vue\src\components\ui\dropdown-menu\DropdownMenuSubTrigger.vue", "vue", 27, 0, 0, 4, 31
"d:\Data\Java\laolao-pc-builds\laolao-pc-builds-vue\src\components\ui\dropdown-menu\DropdownMenuTrigger.vue", "vue", 14, 0, 0, 4, 18
"d:\Data\Java\laolao-pc-builds\laolao-pc-builds-vue\src\components\ui\dropdown-menu\index.ts", "TypeScript", 0, 15, 0, 2, 17
"d:\Data\Java\laolao-pc-builds\laolao-pc-builds-vue\src\components\ui\input-otp\InputOTP.vue", "vue", 23, 0, 0, 6, 29
"d:\Data\Java\laolao-pc-builds\laolao-pc-builds-vue\src\components\ui\input-otp\InputOTPGroup.vue", "vue", 18, 0, 0, 5, 23
"d:\Data\Java\laolao-pc-builds\laolao-pc-builds-vue\src\components\ui\input-otp\InputOTPSeparator.vue", "vue", 18, 0, 0, 4, 22
"d:\Data\Java\laolao-pc-builds\laolao-pc-builds-vue\src\components\ui\input-otp\InputOTPSlot.vue", "vue", 26, 0, 0, 7, 33
"d:\Data\Java\laolao-pc-builds\laolao-pc-builds-vue\src\components\ui\input-otp\index.ts", "TypeScript", 0, 4, 0, 1, 5
